Fecha,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán,Morelos,Nacional,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2020-01-01,127.34591,23.566515,5.1033778,29.976517,106.9166,53.131023,117.49409,88.46212,127.34591,53.131023,127.34591,106.9166,117.49409,127.34591,117.49409,127.34591,117.49409,590.69592,127.34591,88.46212,106.9166,106.9166,127.34591,29.976517,127.34591,38.699768,38.699768,106.9166,88.46212,106.9166,106.9166,29.976517,127.34591
2020-01-02,158.9064,29.307213,5.5854983,33.837517,124.57919,61.398979,143.90642,110.23712,158.9064,61.398979,158.9064,124.57919,143.90642,158.9064,143.90642,158.9064,143.90642,710.5498,158.9064,110.23712,124.57919,124.57919,158.9064,33.837517,158.9064,42.791447,42.791447,124.57919,110.23712,124.57919,124.57919,33.837517,158.9064
2020-01-03,175.03735,31.085302,5.7682009,36.202038,131.55515,64.624588,152.56343,119.04167,175.03735,64.624588,175.03735,131.55515,152.56343,175.03735,152.56343,175.03735,152.56343,760.90839,175.03735,119.04167,131.55515,131.55515,175.03735,36.202038,175.03735,45.030628,45.030628,131.55515,119.04167,131.55515,131.55515,36.202038,175.03735
2020-01-04,169.10831,29.550413,5.7890301,32.787415,126.7724,62.804058,146.35934,115.64552,169.10831,62.804058,169.10831,126.7724,146.35934,169.10831,146.35934,169.10831,146.35934,733.64813,169.10831,115.64552,126.7724,126.7724,169.10831,32.787415,169.10831,44.831665,44.831665,126.7724,115.64552,126.7724,126.7724,32.787415,169.10831
2020-01-05,152.92401,27.785938,5.5639677,27.189587,115.12894,59.939552,136.66946,105.2328,152.92401,59.939552,152.92401,115.12894,136.66946,152.92401,136.66946,152.92401,136.66946,672.96973,152.92401,105.2328,115.12894,115.12894,152.92401,27.189587,152.92401,42.535484,42.535484,115.12894,105.2328,115.12894,115.12894,27.189587,152.92401
2020-01-06,177.99834,32.516113,5.8228421,28.690187,123.67194,65.476273,154.37506,123.07652,177.99834,65.476273,177.99834,123.67194,154.37506,177.99834,154.37506,177.99834,154.37506,757.78729,177.99834,123.07652,123.67194,123.67194,177.99834,28.690187,177.99834,46.160015,46.160015,123.67194,123.07652,123.67194,123.67194,28.690187,177.99834
2020-01-07,190.47691,33.329815,5.8716979,28.78528,125.6021,68.44265,163.53047,125.57713,190.47691,68.44265,190.47691,125.6021,163.53047,190.47691,163.53047,190.47691,163.53047,788.57666,190.47691,125.57713,125.6021,125.6021,190.47691,28.78528,190.47691,46.960613,46.960613,125.6021,125.57713,125.6021,125.6021,28.78528,190.47691
2020-01-08,192.5817,34.203312,5.9035521,28.633318,128.54457,69.561523,165.2551,126.8402,192.5817,69.561523,192.5817,128.54457,165.2551,192.5817,165.2551,192.5817,165.2551,798.69409,192.5817,126.8402,128.54457,128.54457,192.5817,28.633318,192.5817,47.170811,47.170811,128.54457,126.8402,128.54457,128.54457,28.633318,192.5817
2020-01-09,193.8649,34.696095,5.9603839,30.666662,129.0704,68.459389,167.33286,129.82822,193.8649,68.459389,193.8649,129.0704,167.33286,193.8649,167.33286,193.8649,167.33286,807.35132,193.8649,129.82822,129.0704,129.0704,193.8649,30.666662,193.8649,47.472397,47.472397,129.0704,129.82822,129.0704,129.0704,30.666662,193.8649
2020-01-10,191.91978,34.04818,5.838264,33.089863,130.11739,67.210625,165.83076,131.72595,191.91978,67.210625,191.91978,130.11739,165.83076,191.91978,165.83076,191.91978,165.83076,806.93152,191.91978,131.72595,130.11739,130.11739,191.91978,33.089863,191.91978,47.150692,47.150692,130.11739,131.72595,130.11739,130.11739,33.089863,191.91978
