nom_ent,Enero ,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Aguascalientes,5646.2749,5452.6426,6060.4014,5120.2217,5332.0205,5746.5688,5768.0581,5803.7144,5578.4893,6004.4829,5682.8271,5640.2725
Baja California,1006.658203,941.5592041,976.4291992,884.4206543,1203.81311,1352.561157,1644.224487,1771.865967,1529.29187,1335.368408,1022.51947,1013.918335
Baja California Sur,180.22948,172.07739,180.96567,155.35413,176.84067,215.80748,279.0488,285.74701,289.07416,277.12286,215.44679,182.0184
Campeche,982.85138,992.4328,1090.7466,1042.2671,1003.9858,989.39703,1165.2491,1156.1688,1141.6283,1020.1566,945.18402,865.34259
Chiapas,3982.6423,3834.4326,4419.3882,4218.936,4167.0366,4018.3479,4428.9326,4336.854,4452.8638,4327.9014,4026.4238,3916.4487
Chihuahua,2003.5293,1876.6613,2173.5928,2186.1267,2564.1609,2897.7151,2978.6211,3139.8838,2530.9395,2240.9475,1909.9694,2067.8735
Ciudad de México,4918.0957,4595.9604,5037.583,4403.1089,4372.4219,4429.2788,4673.6758,4770.2393,4399.1548,4875.2329,4730.2344,4774.6914
Coahuila,3867.3577,3740.1104,4333.9185,3900.7705,4436.917,4944.4321,5463.3721,5591.957,4802.3267,4705.3066,4087.9805,3895.2546
Colima,5646.2749,5452.6426,6060.4014,5120.2217,5332.0205,5746.5688,5768.0581,5803.7144,5578.4893,6004.4829,5682.8271,5640.2725
Durango,2003.5293,1876.6613,2173.5928,2186.1267,2564.1609,2897.7151,2978.6211,3139.8838,2530.9395,2240.9475,1909.9694,2067.8735
Guanajuato,5646.2749,5452.6426,6060.4014,5120.2217,5332.0205,5746.5688,5768.0581,5803.7144,5578.4893,6004.4829,5682.8271,5640.2725
Guerrero,3982.6423,3834.4326,4419.3882,4218.936,4167.0366,4018.3479,4428.9326,4336.854,4452.8638,4327.9014,4026.4238,3916.4487
Hidalgo,4918.0957,4595.9604,5037.583,4403.1089,4372.4219,4429.2788,4673.6758,4770.2393,4399.1548,4875.2329,4730.2344,4774.6914
Jalisco,5646.2749,5452.6426,6060.4014,5120.2217,5332.0205,5746.5688,5768.0581,5803.7144,5578.4893,6004.4829,5682.8271,5640.2725
México,4918.0957,4595.9604,5037.583,4403.1089,4372.4219,4429.2788,4673.6758,4770.2393,4399.1548,4875.2329,4730.2344,4774.6914
Michoacán,5646.2749,5452.6426,6060.4014,5120.2217,5332.0205,5746.5688,5768.0581,5803.7144,5578.4893,6004.4829,5682.8271,5640.2725
Morelos,4918.0957,4595.9604,5037.583,4403.1089,4372.4219,4429.2788,4673.6758,4770.2393,4399.1548,4875.2329,4730.2344,4774.6914
Nacional,24039.139,23015.297,25852.324,23504.334,25441.896,27200.17,29320.857,29910.445,27505.572,27393.211,24369.904,23838.646
Nayarit,5646.2749,5452.6426,6060.4014,5120.2217,5332.0205,5746.5688,5768.0581,5803.7144,5578.4893,6004.4829,5682.8271,5640.2725
Nuevo León,3867.3577,3740.1104,4333.9185,3900.7705,4436.917,4944.4321,5463.3721,5591.957,4802.3267,4705.3066,4087.9805,3895.2546
Oaxaca,3982.6423,3834.4326,4419.3882,4218.936,4167.0366,4018.3479,4428.9326,4336.854,4452.8638,4327.9014,4026.4238,3916.4487
Puebla,3982.6423,3834.4326,4419.3882,4218.936,4167.0366,4018.3479,4428.9326,4336.854,4452.8638,4327.9014,4026.4238,3916.4487
Querétaro,5646.2749,5452.6426,6060.4014,5120.2217,5332.0205,5746.5688,5768.0581,5803.7144,5578.4893,6004.4829,5682.8271,5640.2725
Quintana Roo,982.85138,992.4328,1090.7466,1042.2671,1003.9858,989.39703,1165.2491,1156.1688,1141.6283,1020.1566,945.18402,865.34259
San Luis Potosí,5646.2749,5452.6426,6060.4014,5120.2217,5332.0205,5746.5688,5768.0581,5803.7144,5578.4893,6004.4829,5682.8271,5640.2725
Sinaloa,1451.5,1409.4207,1579.2998,1593.1279,2184.7,2606.0615,2919.676,3054.0144,2781.8044,2606.6909,1749.3184,1482.8269
Sonora,1451.5,1409.4207,1579.2998,1593.1279,2184.7,2606.0615,2919.676,3054.0144,2781.8044,2606.6909,1749.3184,1482.8269
Tabasco,3982.6423,3834.4326,4419.3882,4218.936,4167.0366,4018.3479,4428.9326,4336.854,4452.8638,4327.9014,4026.4238,3916.4487
Tamaulipas,3867.3577,3740.1104,4333.9185,3900.7705,4436.917,4944.4321,5463.3721,5591.957,4802.3267,4705.3066,4087.9805,3895.2546
Tlaxcala,3982.6423,3834.4326,4419.3882,4218.936,4167.0366,4018.3479,4428.9326,4336.854,4452.8638,4327.9014,4026.4238,3916.4487
Veracruz,3982.6423,3834.4326,4419.3882,4218.936,4167.0366,4018.3479,4428.9326,4336.854,4452.8638,4327.9014,4026.4238,3916.4487
Yucatán,982.85138,992.4328,1090.7466,1042.2671,1003.9858,989.39703,1165.2491,1156.1688,1141.6283,1020.1566,945.18402,865.34259
Zacatecas,5646.2749,5452.6426,6060.4014,5120.2217,5332.0205,5746.5688,5768.0581,5803.7144,5578.4893,6004.4829,5682.8271,5640.2725
