Fecha,Punto 1,Punto 2,Punto 3,Punto 4,Punto 5,Punto 6,Punto 7,Punto 8,Punto 9,Punto 10,Punto 11,Punto 12,Punto 13,Punto 14,Punto 15,Punto 16,Punto 17,Total
2019-01-01,0,0,0,0,0,0,0,0,0,0,10016,0,0,0,0,38032,0,48048
2019-01-02,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,38032,0,48032
2019-01-03,0,0,0,0,0,0,0,0,334596,0,33200,0,0,0,0,0,0,367796
2019-01-04,0,0,0,0,0,0,22032,0,420424,0,0,0,0,0,0,19504,0,461960
2019-01-05,0,0,0,0,0,0,0,0,320722,0,10000,0,0,0,0,0,0,330722
2019-01-06,0,0,0,0,0,0,0,0,217850,0,10000,0,0,0,0,0,0,227850
2019-01-07,0,0,0,0,0,0,0,0,266502,0,33200,0,0,0,0,0,0,299702
2019-01-08,0,0,0,0,0,0,0,0,414854,0,74794,0,0,0,0,0,0,489648
2019-01-09,0,0,0,0,40000,0,110136,0,383810,0,33200,0,0,0,0,0,0,567146
2019-01-10,0,0,0,0,0,0,0,0,402810,0,33200,0,0,0,0,0,0,436010
2019-01-11,0,0,0,0,0,0,0,0,475992,0,38428,0,0,0,0,0,0,514420
2019-01-12,19300,0,0,0,0,0,0,0,473536,0,33200,0,0,0,0,10700,0,536736
2019-01-13,19300,0,0,0,0,0,0,0,473536,0,33200,0,0,0,0,46636,0,572672
2019-01-14,0,0,0,0,18198,0,0,0,473536,0,33200,0,0,0,0,0,0,524934
2019-01-15,13142,0,0,0,0,0,18080,0,450804,0,10000,0,0,0,0,0,5768,497794
2019-01-16,32226,0,0,0,0,0,34494,0,454380,0,10000,0,0,0,0,30016,11374,572490
2019-01-17,37794,0,0,9672,0,0,0,0,470630,0,10000,0,0,0,0,54210,7584,589890
2019-01-18,0,0,0,0,0,0,0,0,479344,0,10000,0,0,0,0,0,0,489344
2019-01-19,0,0,0,0,0,0,0,0,531154,0,10000,0,0,0,0,0,0,541154
2019-01-20,0,0,0,0,0,0,0,0,555410,0,10000,0,0,0,0,0,0,565410
2019-01-21,0,0,0,15678,18062,0,0,0,485098,0,10000,0,0,0,0,12800,0,541638
2019-01-22,0,0,0,0,0,0,0,0,526318,0,10000,0,0,0,0,0,0,536318
2019-01-23,0,62238,0,0,0,0,0,0,583818,0,10000,0,0,0,0,0,0,656056
2019-01-24,0,0,0,0,0,0,0,0,511748,0,10000,0,0,0,0,0,0,521748
2019-01-25,0,0,0,0,0,0,0,0,560670,0,10000,0,0,0,0,0,0,570670
2019-01-26,0,0,0,0,0,0,0,0,549264,0,10000,0,0,0,0,0,0,559264
2019-01-27,0,0,0,0,0,0,0,0,548826,0,10000,0,0,0,0,0,0,558826
2019-01-28,34654,0,0,39804,0,0,0,0,549264,0,10000,0,0,0,0,0,11522,645244
2019-01-29,0,0,0,15476,0,0,0,0,553252,0,10000,0,0,0,0,0,11014,589742
2019-01-30,0,0,0,19344,0,0,0,0,549264,0,10000,0,0,0,0,0,10630,589238
2019-01-31,0,0,0,38304,0,0,0,0,480382,0,10000,0,0,0,0,0,18336,547022
2019-02-01,0,0,0,0,0,0,0,0,544062,0,0,0,158400,0,0,0,0,702462
2019-02-02,0,0,0,47304,0,0,0,0,547264,0,0,0,138598,0,0,0,10382,743548
2019-02-03,27020,0,0,0,17532,0,0,0,547264,0,0,0,10000,0,0,0,0,601816
2019-02-04,31452,0,0,0,0,0,0,0,547266,0,0,0,138600,0,0,0,8462,725780
2019-02-05,8664,0,0,0,0,0,0,0,547360,0,0,0,118602,0,0,0,0,674626
2019-02-06,0,0,0,0,0,0,0,0,547266,0,0,0,118604,0,0,0,0,665870
2019-02-07,0,0,0,50000,0,0,0,0,547460,0,0,0,135986,0,0,0,0,733446
2019-02-08,0,0,0,0,0,0,0,0,547560,0,0,0,73054,0,0,0,0,620614
2019-02-09,0,0,0,124996,0,0,0,0,507560,0,0,0,0,0,0,0,0,632556
2019-02-10,0,0,0,60310,0,0,0,0,357210,0,0,0,0,0,0,0,0,417520
2019-02-11,0,0,0,20904,0,0,0,0,547560,0,0,0,0,0,0,0,0,568464
2019-02-12,0,0,0,0,0,0,0,0,547560,0,0,0,10000,0,0,0,0,557560
2019-02-13,0,0,0,38786,0,0,0,0,547560,0,0,0,118404,0,0,5600,0,710350
2019-02-14,0,0,0,19026,0,0,0,0,547562,0,0,0,118404,0,0,6800,0,691792
2019-02-15,0,0,0,0,0,0,0,0,547560,0,0,0,118404,0,0,0,0,665964
2019-02-16,0,0,0,30000,0,0,30832,0,547560,0,0,0,118404,0,0,0,0,726796
2019-02-17,0,0,0,70000,0,0,0,0,547560,0,0,0,118404,0,0,0,0,735964
2019-02-18,0,0,0,23400,0,0,18960,0,547560,0,0,0,118404,0,0,20800,0,729124
2019-02-19,0,0,0,31074,0,0,21884,0,547560,0,0,0,118404,0,0,0,0,718922
2019-02-20,0,0,0,0,0,0,0,0,547560,0,0,0,118404,0,0,0,0,665964
2019-02-21,0,0,0,0,0,0,16742,0,547560,0,0,0,158204,0,0,0,0,722506
2019-02-22,0,45482,0,0,0,0,0,0,547560,0,0,0,158204,0,0,0,0,751246
2019-02-23,0,0,0,0,0,0,0,0,547560,0,0,0,106432,0,0,0,0,653992
2019-02-24,0,0,0,0,0,0,0,0,547560,0,0,0,106432,0,0,0,0,653992
2019-02-25,0,0,0,0,0,0,0,0,547560,0,0,0,106432,0,0,0,0,653992
2019-02-26,0,0,0,0,0,0,0,0,547560,0,0,0,110224,0,0,0,0,657784
2019-02-27,0,0,0,95764,0,0,0,0,547560,0,0,0,118404,0,0,0,0,761728
2019-02-28,0,0,0,52064,5560,0,0,0,547560,0,0,0,118404,0,0,0,0,723588
2019-03-01,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,677338
2019-03-02,0,0,0,0,0,0,0,0,431630,0,0,0,118404,0,0,0,0,550034
2019-03-03,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,677338
2019-03-04,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,677338
2019-03-05,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,677338
2019-03-06,0,0,0,0,0,0,0,0,513522,0,0,0,163702,0,0,0,0,677224
2019-03-07,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,677338
2019-03-08,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,677338
2019-03-09,0,0,9600,30836,20000,0,0,0,558934,0,0,0,118404,0,0,0,0,737774
2019-03-10,74244,0,24748,0,26000,0,48742,0,558934,0,0,0,118404,0,0,29550,0,880622
2019-03-11,32000,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,709338
2019-03-12,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,677338
2019-03-13,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,677338
2019-03-14,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,677338
2019-03-15,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,677338
2019-03-16,34782,0,0,0,21984,0,0,0,558934,0,0,0,118404,0,0,33990,0,768094
2019-03-17,0,0,0,22648,27622,0,0,0,558934,0,0,0,118404,0,0,0,0,727608
2019-03-18,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,677338
2019-03-19,0,0,0,0,21000,0,0,0,558934,0,0,0,118404,0,0,0,0,698338
2019-03-20,0,0,9576,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,686914
2019-03-21,146162,0,46422,0,0,0,63032,0,558934,0,0,0,108404,0,0,0,0,922954
2019-03-22,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,677338
2019-03-23,0,0,0,20000,0,0,0,0,558934,0,0,0,118402,0,0,0,0,697336
2019-03-24,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,677338
2019-03-25,60000,0,20000,0,40000,0,0,0,558934,0,0,0,118404,0,0,20000,0,817338
2019-03-26,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,677338
2019-03-27,0,0,0,0,0,0,0,0,558934,0,0,0,118402,0,0,0,0,677336
2019-03-28,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,677338
2019-03-29,0,0,0,0,0,0,0,0,558934,0,0,0,116334,0,0,0,0,675268
2019-03-30,0,0,0,0,0,0,0,0,558934,0,0,0,116336,0,0,0,0,675270
