Fecha,Punto 1,Punto 2,Punto 3,Punto 4,Punto 5,Punto 6,Punto 7,Punto 8,Punto 9,Punto 10,Punto 11,Punto 12,Punto 13,Punto 14,Punto 15,Punto 16,Punto 17,Total
2019-01-01,156416,62238,0,138278,76260,0,184742,0,13497794,0,555638,0,0,0,0,249930,76228,15060640
2019-02-01,67136,45482,0,663628,23092,0,88418,0,15096354,0,0,0,2831812,0,0,33200,18844,18924960
2019-03-01,347188,0,110346,73484,156606,0,111774,0,17154238,0,0,0,3699612,0,0,83540,0,21799966
2019-04-01,59144,31054,81454,577668,32000,0,149326,0,0,0,0,0,0,0,0,12500,0,1004301
2019-05-01,576604,0,102202,190924,0,0,142148,0,0,0,0,0,0,0,0,20000,0,1095118
2019-06-01,67006,0,0,50000,0,0,394870,0,60152,0,0,3465632,235576,0,0,17552,0,4352003
2019-07-01,83182,0,0,786136,454154,0,178814,0,0,0,0,625624,0,0,0,0,0,2191212
2019-08-01,45354,0,81188,192236,0,0,49456,0,112018,0,0,0,884882,0,0,0,0,1428467
2019-09-01,352616,87654,231122,1492968,253368,0,390130,0,565418,0,0,16983352,401638,0,0,16492,0,20836063
2019-10-01,194632,587248,10664,1840416,69004,0,681986,0,32500842,0,0,40604530,20246326,0,0,44000,0,96843043
2019-11-01,380664,19238,7642,1051628,628194,0,472076,0,31224046,0,0,44781784,16940224,0,0,17000,94928,95678789
2019-12-01,110818,0,12000,270600,1235038,0,514104,0,4272000,0,0,6904346,2954710,0,0,124000,591934,17053007
2020-01-01,208914,60000,25000,1030036,941928,18000,551794,0,0,0,0,336926,148882,260000,0,180000,640428,4465055
2020-02-01,46000,0,0,1017800,1724400,0,419026,0,8370,0,0,624128,77388,0,0,462100,0,4438285
2020-03-01,96000,0,81000,1398900,512600,50000,217996,6000,386016,0,0,66346,536712,0,0,34000,4000,3452779
2020-04-01,0,12698,0,1406200,734000,0,340200,0,356502,0,0,255406,312678,0,0,46000,20000,3544869
2020-05-01,0,0,0,2038800,515000,0,183000,0,1331984,0,0,1511628,520564,0,0,16000,26886,6207133
2020-06-01,0,0,16000,619784,322000,0,98000,0,4893080,0,0,2507076,1442316,0,0,0,0,9959501
2020-07-01,0,0,0,1116200,165938,0,532400,0,106134,0,0,584352,466916,0,0,0,26000,3061273
2020-08-01,4386282,3678820,713580,17492064,15222810,0,11016234,0,426904,0,0,814436,795996,0,0,11301444,1497562,67409496
2020-09-01,0,0,0,425600,205000,0,60000,0,218468,0,0,1197560,224588,0,0,0,0,2392551
2020-10-01,0,0,0,1387474,613000,0,295000,0,0,0,0,405758,251620,0,0,0,0,3016278
2020-11-01,6000,0,0,292000,168010,0,374000,0,191150,0,0,1170466,282884,0,0,0,10000,2555905
2020-12-01,74000,0,0,1022148,786000,0,56000,0,133380,0,0,1390308,274140,0,0,0,0,3799464
