name,Ene19,Feb2019,Mar19,Abr19,May19,Jun19,Jul19,Ago19,Sep19,Oct19,Nov19,Dic19,Ene20,Feb2020,Mar20,Abr20,May20,Jun20,Jul20,Ago20,Sep20,Oct20,Nov20,Dic20
Punto 1,156416,67136,347188,59144,576604,67006,83182,45354,352616,194632,380664,110818,208914,46000,96000,0,0,0,0,4386282,0,0,6000,74000
Punto 2,62238,45482,0,31054,0,0,0,0,87654,587248,19238,0,60000,0,0,12698,0,0,0,3678820,0,0,0,0
Punto 3,0,0,110346,81454,102202,0,0,81188,231122,10664,7642,12000,25000,0,81000,0,0,16000,0,713580,0,0,0,0
Punto 4,138278,663628,73484,577668,190924,50000,786136,192236,1492968,1840416,1051628,270600,1030036,1017800,1398900,1406200,2038800,619784,1116200,17492064,425600,1387474,292000,1022148
Punto 5,76260,23092,156606,32000,0,0,454154,0,253368,69004,628194,1235038,941928,1724400,512600,734000,515000,322000,165938,15222810,205000,613000,168010,786000
Punto 6,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,50000,0,0,0,0,0,0,0,0,0
Punto 7,184742,88418,111774,149326,142148,394870,178814,49456,390130,681986,472076,514104,551794,419026,217996,340200,183000,98000,532400,11016234,60000,295000,374000,56000
Punto 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0
Punto 9,13497794,15096354,17154238,0,0,60152,0,112018,565418,32500842,31224046,4272000,0,8370,386016,356502,1331984,4893080,106134,426904,218468,0,191150,133380
Punto 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punto 11,555638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punto 12,0,0,0,0,0,3465632,625624,0,16983352,40604530,44781784,6904346,336926,624128,66346,255406,1511628,2507076,584352,814436,1197560,405758,1170466,1390308
Punto 13,0,2831812,3699612,0,0,235576,0,884882,401638,20246326,16940224,2954710,148882,77388,536712,312678,520564,1442316,466916,795996,224588,251620,282884,274140
Punto 14,0,0,0,0,0,0,0,0,0,0,0,0,260000,0,0,0,0,0,0,0,0,0,0,0
Punto 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punto 16,249930,33200,83540,12500,20000,17552,0,0,16492,44000,17000,124000,180000,462100,34000,46000,16000,0,0,11301444,0,0,0,0
Punto 17,76228,18844,0,0,0,0,0,0,0,0,94928,591934,640428,0,4000,20000,26886,0,26000,1497562,0,0,10000,0
Total,15060640,18924960,21799966,1004301,1095118,4352003,2191212,1428467,20836063,96843043,95678789,17053007,4465055,4438285,3452779,3544869,6207133,9959501,3061273,67409496,2392551,3016278,2555905,3799464
